[2025-01-11 17:55:01] info: 	z2m: Downstairs Window 4 (0xa4c138cc0d6c0519): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Downstairs Window 5 (0xa4c138cf270e9886): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Downstairs Window 6 (0xa4c1385f9dcec437): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: TV Downstairs Outlet (0x00124b0022ce7bed): SA-003-Zigbee - eWeLink Zigbee smart plug (Router)
[2025-01-11 17:55:01] info: 	z2m: 0xa4c138b20146efb3 (0xa4c138b20146efb3): ZMS-102 - Tuya Motion sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Archer's Bathroom Sensor (0x00124b002fa13db6): SNZB-02 - SONOFF Temperature and humidity sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Wall Panel Charger (0x282c02bfffe6dd44): 3RSP019BZ - Third Reality Zigbee / BLE smart plug (Router)
[2025-01-11 17:55:01] info: 	z2m: Bedroom Sensor (0xf44250000cce0000): 3RTHS0224Z - Third Reality Temperature and humidity sensor lite (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Archers Bedroom Sensor (0xa4c138cd50eb5ff9): TH02Z - Tuya Temperature and humidity sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Archers Bedroom Motion (0x00124b002a4ed433): SNZB-03 - SONOFF Motion sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Michaels Office Window - Front 1 (0x282c02bfffecdf78): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Michaels Office Window - Front 2 (0x282c02bfffecd685): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Michaels Office Window - Side (0x282c02bfffecdf3a): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Currently 61 devices are joined.
[2025-01-11 17:55:01] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2025-01-11 17:55:02] info: 	z2m: Connected to MQTT server
[2025-01-11 17:55:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
